original_image_link,viewer_link,mets_link,bibliographical_description,author,title,publishing_place,publisher,publication_year
http://diglib.hab.de/drucke/30-med-2f-1s/00081a.jpg,https://diglib.hab.de/drucke/30-med-2f-1s/start.htm?image=00081a,https://diglib.hab.de/drucke/30-med-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/30-med-2f-1s/00082.jpg,https://diglib.hab.de/drucke/30-med-2f-1s/start.htm?image=00082,https://diglib.hab.de/drucke/30-med-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/30-med-2f-1s/00087a.jpg,https://diglib.hab.de/drucke/30-med-2f-1s/start.htm?image=00087a,https://diglib.hab.de/drucke/30-med-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/30-med-2f-1s/00212.jpg,https://diglib.hab.de/drucke/30-med-2f-1s/start.htm?image=00212,https://diglib.hab.de/drucke/30-med-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/30-med-2f-1s/00228.jpg,https://diglib.hab.de/drucke/30-med-2f-1s/start.htm?image=00228,https://diglib.hab.de/drucke/30-med-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/35-1-phys-2f-1s/00051.jpg,https://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm?image=00051,https://diglib.hab.de/drucke/35-1-phys-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/35-1-phys-2f-1s/00061.jpg,https://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm?image=00061,https://diglib.hab.de/drucke/35-1-phys-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/35-1-phys-2f-1s/00062.jpg,https://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm?image=00062,https://diglib.hab.de/drucke/35-1-phys-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/35-1-phys-2f-1s/00063.jpg,https://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm?image=00063,https://diglib.hab.de/drucke/35-1-phys-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/35-1-phys-2f-1s/00064.jpg,https://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm?image=00064,https://diglib.hab.de/drucke/35-1-phys-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/35-1-phys-2f-1s/00066.jpg,https://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm?image=00066,https://diglib.hab.de/drucke/35-1-phys-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/35-1-phys-2f-1s/00068.jpg,https://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm?image=00068,https://diglib.hab.de/drucke/35-1-phys-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/35-1-phys-2f-1s/00070.jpg,https://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm?image=00070,https://diglib.hab.de/drucke/35-1-phys-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/35-1-phys-2f-1s/00074.jpg,https://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm?image=00074,https://diglib.hab.de/drucke/35-1-phys-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/35-1-phys-2f-1s/00075.jpg,https://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm?image=00075,https://diglib.hab.de/drucke/35-1-phys-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/35-1-phys-2f-1s/00078.jpg,https://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm?image=00078,https://diglib.hab.de/drucke/35-1-phys-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/35-1-phys-2f-1s/00080.jpg,https://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm?image=00080,https://diglib.hab.de/drucke/35-1-phys-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/35-1-phys-2f-1s/00082.jpg,https://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm?image=00082,https://diglib.hab.de/drucke/35-1-phys-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/35-1-phys-2f-1s/00087.jpg,https://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm?image=00087,https://diglib.hab.de/drucke/35-1-phys-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/35-1-phys-2f-1s/00088.jpg,https://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm?image=00088,https://diglib.hab.de/drucke/35-1-phys-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/35-1-phys-2f-1s/00094.jpg,https://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm?image=00094,https://diglib.hab.de/drucke/35-1-phys-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/35-1-phys-2f-1s/00096.jpg,https://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm?image=00096,https://diglib.hab.de/drucke/35-1-phys-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/35-1-phys-2f-1s/00102.jpg,https://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm?image=00102,https://diglib.hab.de/drucke/35-1-phys-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/35-1-phys-2f-1s/00108.jpg,https://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm?image=00108,https://diglib.hab.de/drucke/35-1-phys-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/35-1-phys-2f-1s/00112.jpg,https://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm?image=00112,https://diglib.hab.de/drucke/35-1-phys-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/35-1-phys-2f-1s/00125.jpg,https://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm?image=00125,https://diglib.hab.de/drucke/35-1-phys-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/35-1-phys-2f-1s/00128.jpg,https://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm?image=00128,https://diglib.hab.de/drucke/35-1-phys-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/35-1-phys-2f-1s/00132.jpg,https://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm?image=00132,https://diglib.hab.de/drucke/35-1-phys-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/35-1-phys-2f-1s/00133.jpg,https://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm?image=00133,https://diglib.hab.de/drucke/35-1-phys-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/35-1-phys-2f-1s/00136.jpg,https://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm?image=00136,https://diglib.hab.de/drucke/35-1-phys-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/35-1-phys-2f-1s/00156.jpg,https://diglib.hab.de/drucke/35-1-phys-2f-1s/start.htm?image=00156,https://diglib.hab.de/drucke/35-1-phys-2f-1s/mets.xml,,,,,,
http://diglib.hab.de/drucke/38-7-med-1s/00006.jpg,https://diglib.hab.de/drucke/38-7-med-1s/start.htm?image=00006,https://diglib.hab.de/drucke/38-7-med-1s/mets.xml,,,,,,
